ID                                      0x67c
Delivery_person_ID             INDORES08DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 22.725748
Restaurant_longitude                75.898497
Delivery_location_latitude          22.795748
Delivery_location_longitude         75.968497
Order_Date                         10-03-2022
Time_Orderd                               NaN
Time_Order_picked                       20:15
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 33159, dtype: object
