ID                                       0xc159
Delivery_person_ID                KOLRES04DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.538731
Restaurant_longitude                  88.364878
Delivery_location_latitude            22.558731
Delivery_location_longitude           88.384878
Order_Date                           13-02-2022
Time_Orderd                               11:35
Time_Order_picked                         11:50
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 32410, dtype: object
