ID                                     0x9ce7
Delivery_person_ID             PUNERES07DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 18.546947
Restaurant_longitude                73.900626
Delivery_location_latitude          18.676947
Delivery_location_longitude         74.030626
Order_Date                         04-03-2022
Time_Orderd                             23:45
Time_Order_picked                       23:55
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    20.000000
Name: 26987, dtype: object
