ID                                      0x795a
Delivery_person_ID             COIMBRES16DEL03
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.100375
Delivery_location_longitude          77.042950
Order_Date                          02-03-2022
Time_Orderd                              19:55
Time_Order_picked                        19:60
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                   Yes
City                                       NaN
Time_taken (min)                     42.000000
Name: 25180, dtype: object
