ID                                    0xcac4
Delivery_person_ID             GOARES14DEL02
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                15.157944
Restaurant_longitude               73.950889
Delivery_location_latitude         15.207944
Delivery_location_longitude        74.000889
Order_Date                        11-02-2022
Time_Orderd                            22:35
Time_Order_picked                      22:40
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 38399, dtype: object
