ID                                     0xcc7c
Delivery_person_ID             ALHRES010DEL01
Delivery_person_Age                     22.00
Delivery_person_Ratings                  4.30
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         13-02-2022
Time_Orderd                             14:50
Time_Order_picked                       14:60
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      2.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        54.00
Name: 32033, dtype: object
