ID                                       0xade6
Delivery_person_ID             RANCHIRES19DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.423017
Delivery_location_longitude           85.407200
Order_Date                           29-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:10
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 3110, dtype: object
