ID                                       0xc111
Delivery_person_ID                GOARES12DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   15.516833
Restaurant_longitude                  73.768172
Delivery_location_latitude            15.626833
Delivery_location_longitude           73.878172
Order_Date                           18-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:45
Weather conditions                          NaN
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 33101, dtype: object
