ID                                      0x940a
Delivery_person_ID             COIMBRES20DEL02
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.014136
Delivery_location_longitude          76.983303
Order_Date                          13-03-2022
Time_Orderd                               9:20
Time_Order_picked                         9:25
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     29.000000
Name: 30564, dtype: object
