ID                                       0xc01d
Delivery_person_ID                DEHRES06DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -30.361281
Restaurant_longitude                  78.068022
Delivery_location_latitude            30.491281
Delivery_location_longitude           78.198022
Order_Date                           16-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:35
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 17851, dtype: object
