ID                                       0x3aec
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       36.00
Delivery_person_Ratings                    4.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.07
Delivery_location_longitude                0.07
Order_Date                           29-03-2022
Time_Orderd                               23:15
Time_Order_picked                         23:30
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          39.00
Name: 248, dtype: object
