ID                                    0xbfc9
Delivery_person_ID             KOCRES15DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                10.027364
Restaurant_longitude               76.308258
Delivery_location_latitude         10.067364
Delivery_location_longitude        76.348258
Order_Date                        11-02-2022
Time_Orderd                            12:15
Time_Order_picked                      12:20
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 7602, dtype: object
