ID                                        0x3f1
Delivery_person_ID                VADRES09DEL03
Delivery_person_Age                       50.00
Delivery_person_Ratings                    6.00
Restaurant_latitude                       -0.00
Restaurant_longitude                      -0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           06-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          36.00
Name: 44702, dtype: object
