ID                                     0x7db1
Delivery_person_ID             CHENRES04DEL02
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.159780
Delivery_location_longitude         80.338812
Order_Date                         08-03-2022
Time_Orderd                             17:15
Time_Order_picked                       17:20
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 26034, dtype: object
