ID                                    0xc0ed
Delivery_person_ID             KOCRES12DEL03
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                -9.988483
Restaurant_longitude               76.295211
Delivery_location_latitude         10.048483
Delivery_location_longitude        76.355211
Order_Date                        17-02-2022
Time_Orderd                            23:30
Time_Order_picked                      23:45
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   12.000000
Name: 12480, dtype: object
