ID                                       0xd3f7
Delivery_person_ID               AURGRES20DEL01
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           13-02-2022
Time_Orderd                               13:60
Time_Order_picked                         14:05
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          16.00
Name: 32678, dtype: object
