ID                                       0x7e0b
Delivery_person_ID                HYDRES04DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   17.411028
Restaurant_longitude                  78.329645
Delivery_location_latitude            17.491028
Delivery_location_longitude           78.409645
Order_Date                           25-03-2022
Time_Orderd                               23:50
Time_Order_picked                         23:55
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 2173, dtype: object
