ID                                       0x7e98
Delivery_person_ID                SURRES20DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   21.152760
Restaurant_longitude                  72.778059
Delivery_location_latitude            21.172760
Delivery_location_longitude           72.798059
Order_Date                           03-03-2022
Time_Orderd                               10:20
Time_Order_picked                         10:35
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 22228, dtype: object
