ID                                       0xda87
Delivery_person_ID               LUDHRES06DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   30.895204
Restaurant_longitude                  75.822103
Delivery_location_latitude            30.915204
Delivery_location_longitude           75.842103
Order_Date                           11-02-2022
Time_Orderd                                8:25
Time_Order_picked                          8:30
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 31952, dtype: object
