ID                                       0x376a
Delivery_person_ID              COIMBRES16DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   11.010375
Restaurant_longitude                  76.952950
Delivery_location_latitude            11.070375
Delivery_location_longitude           77.012950
Order_Date                           17-03-2022
Time_Orderd                               18:25
Time_Order_picked                         18:30
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 36034, dtype: object
