ID                                       0x38ac
Delivery_person_ID             RANCHIRES06DEL03
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.357804
Restaurant_longitude                  85.325146
Delivery_location_latitude            23.387804
Delivery_location_longitude           85.355146
Order_Date                           01-03-2022
Time_Orderd                               17:35
Time_Order_picked                         17:45
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 25834, dtype: object
