ID                                      0x335e
Delivery_person_ID             COIMBRES04DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.154839
Delivery_location_longitude          77.137003
Order_Date                          08-03-2022
Time_Orderd                              19:15
Time_Order_picked                        19:30
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     39.000000
Name: 33037, dtype: object
