ID                                     0xd2db
Delivery_person_ID             KOLRES010DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.538999
Restaurant_longitude                88.322337
Delivery_location_latitude          22.548999
Delivery_location_longitude         88.332337
Order_Date                         17-02-2022
Time_Orderd                             11:60
Time_Order_picked                       12:15
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 41002, dtype: object
