ID                                     0xa7f2
Delivery_person_ID             INDORES11DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 22.751234
Restaurant_longitude                75.889490
Delivery_location_latitude          22.761234
Delivery_location_longitude         75.899490
Order_Date                         03-03-2022
Time_Orderd                              8:35
Time_Order_picked                        8:45
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    26.000000
Name: 24134, dtype: object
