ID                                     0xd45a
Delivery_person_ID             LUDHRES08DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.899992
Restaurant_longitude                75.831338
Delivery_location_latitude          30.939992
Delivery_location_longitude         75.871338
Order_Date                         11-02-2022
Time_Orderd                             14:30
Time_Order_picked                       14:40
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 28857, dtype: object
