ID                                      0x7e2a
Delivery_person_ID             COIMBRES14DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.013681
Delivery_location_longitude          76.985525
Order_Date                          01-04-2022
Time_Orderd                              10:35
Time_Order_picked                        10:45
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     29.000000
Name: 18786, dtype: object
