ID                                       0x26db
Delivery_person_ID               PUNERES11DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   18.533811
Restaurant_longitude                  73.899315
Delivery_location_latitude            18.543811
Delivery_location_longitude           73.909315
Order_Date                           03-04-2022
Time_Orderd                                8:20
Time_Order_picked                          8:25
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 38562, dtype: object
