ID                                       0xc458
Delivery_person_ID                GOARES01DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   15.576683
Restaurant_longitude                  73.755750
Delivery_location_latitude            15.586683
Delivery_location_longitude           73.765750
Order_Date                           15-02-2022
Time_Orderd                                8:40
Time_Order_picked                          8:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 3496, dtype: object
