ID                                       0xd34d
Delivery_person_ID                KNPRES16DEL01
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.482581
Restaurant_longitude                  80.315628
Delivery_location_latitude            26.522581
Delivery_location_longitude           80.355628
Order_Date                           11-02-2022
Time_Orderd                               14:60
Time_Order_picked                         15:10
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 22922, dtype: object
