ID                                       0xbfaa
Delivery_person_ID                KOCRES15DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   10.027364
Restaurant_longitude                  76.308258
Delivery_location_latitude            10.077364
Delivery_location_longitude           76.358258
Order_Date                           13-02-2022
Time_Orderd                               22:25
Time_Order_picked                         22:40
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 6540, dtype: object
