ID                                    0xaffe
Delivery_person_ID             SURRES12DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                21.183434
Restaurant_longitude               72.814492
Delivery_location_latitude         21.203434
Delivery_location_longitude        72.834492
Order_Date                        11-03-2022
Time_Orderd                             9:15
Time_Order_picked                       9:30
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 27584, dtype: object
