ID                                      0x615f
Delivery_person_ID             COIMBRES20DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.124136
Delivery_location_longitude          77.093303
Order_Date                          18-03-2022
Time_Orderd                              21:20
Time_Order_picked                        21:25
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 4492, dtype: object
