ID                                         0x618
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                          NaN
Delivery_person_Ratings                      NaN
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.394422
Delivery_location_longitude            85.372900
Order_Date                            24-03-2022
Time_Orderd                                  NaN
Time_Order_picked                          15:25
Weather conditions                        Cloudy
Road_traffic_density                      Medium
Vehicle_condition                              2
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       15.000000
Name: 34575, dtype: object
