ID                                    0xdc74
Delivery_person_ID             KOCRES17DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                 9.959778
Restaurant_longitude               76.296106
Delivery_location_latitude          9.999778
Delivery_location_longitude        76.336106
Order_Date                        17-02-2022
Time_Orderd                            15:10
Time_Order_picked                      15:25
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 22482, dtype: object
