ID                                       0xc590
Delivery_person_ID                KNPRES12DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.492106
Restaurant_longitude                  80.327797
Delivery_location_latitude            26.632106
Delivery_location_longitude           80.467797
Order_Date                           16-02-2022
Time_Orderd                               22:45
Time_Order_picked                         22:50
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 20176, dtype: object
