ID                                       0xc79a
Delivery_person_ID                KOLRES07DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.547186
Restaurant_longitude                  88.350680
Delivery_location_latitude            22.657186
Delivery_location_longitude           88.460680
Order_Date                           12-02-2022
Time_Orderd                               17:30
Time_Order_picked                         17:40
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 41497, dtype: object
