ID                                       0xb94f
Delivery_person_ID                MYSRES02DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   12.304569
Restaurant_longitude                  76.643622
Delivery_location_latitude            12.324569
Delivery_location_longitude           76.663622
Order_Date                           05-03-2022
Time_Orderd                               11:30
Time_Order_picked                         11:40
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      32.000000
Name: 29703, dtype: object
