ID                                       0xd7dc
Delivery_person_ID                AGRRES12DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   27.165108
Restaurant_longitude                  78.015053
Delivery_location_latitude            27.295108
Delivery_location_longitude           78.145053
Order_Date                           16-02-2022
Time_Orderd                               20:50
Time_Order_picked                         20:55
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 13221, dtype: object
