ID                                       0x2e73
Delivery_person_ID               INDORES12DEL03
Delivery_person_Age                    32.00000
Delivery_person_Ratings                 4.80000
Restaurant_latitude                    22.74806
Restaurant_longitude                   75.89340
Delivery_location_latitude             22.77806
Delivery_location_longitude            75.92340
Order_Date                           01-04-2022
Time_Orderd                               23:40
Time_Order_picked                         23:50
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                     0.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       18.00000
Name: 37721, dtype: object
