ID                                      0xb880
Delivery_person_ID             COIMBRES19DEL01
Delivery_person_Age                  37.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.062298
Delivery_location_longitude          77.038349
Order_Date                          01-04-2022
Time_Orderd                              13:50
Time_Order_picked                        13:55
Weather conditions                  Sandstorms
Road_traffic_density                      High
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 35181, dtype: object
