ID                                    0xdafa
Delivery_person_ID             BHPRES07DEL02
Delivery_person_Age                    25.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.02
Delivery_location_longitude             0.02
Order_Date                        17-02-2022
Time_Orderd                            10:35
Time_Order_picked                      10:40
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       11.00
Name: 20038, dtype: object
