ID                                      0x2fa1
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.156117
Delivery_location_longitude          77.074652
Order_Date                          12-03-2022
Time_Orderd                              21:55
Time_Order_picked                        22:10
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     30.000000
Name: 25360, dtype: object
