ID                                    0xdeb2
Delivery_person_ID             AGRRES14DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.161850
Restaurant_longitude               78.040165
Delivery_location_latitude         27.201850
Delivery_location_longitude        78.080165
Order_Date                        15-02-2022
Time_Orderd                            12:50
Time_Order_picked                      12:60
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 20333, dtype: object
