ID                                      0xbd1d
Delivery_person_ID             COIMBRES03DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.075083
Delivery_location_longitude          77.065393
Order_Date                          26-03-2022
Time_Orderd                              22:15
Time_Order_picked                        22:20
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     18.000000
Name: 17226, dtype: object
