ID                                    0x4af9
Delivery_person_ID             HYDRES05DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                17.433809
Restaurant_longitude               78.386744
Delivery_location_latitude         17.463809
Delivery_location_longitude        78.416744
Order_Date                        26-03-2022
Time_Orderd                            18:15
Time_Order_picked                      18:30
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 32811, dtype: object
