ID                                      0xb0f5
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.064136
Delivery_location_longitude          77.033303
Order_Date                          02-03-2022
Time_Orderd                              18:50
Time_Order_picked                        18:60
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 39143, dtype: object
