ID                                       0x3d1d
Delivery_person_ID                VADRES07DEL03
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           26-03-2022
Time_Orderd                               20:30
Time_Order_picked                         20:35
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          26.00
Name: 37925, dtype: object
