ID                                       0xdf77
Delivery_person_ID                ALHRES08DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   25.450329
Restaurant_longitude                  81.834279
Delivery_location_latitude            25.480329
Delivery_location_longitude           81.864279
Order_Date                           13-02-2022
Time_Orderd                               23:20
Time_Order_picked                         23:30
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 42177, dtype: object
