ID                                      0xa4ed
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.076117
Delivery_location_longitude          76.994652
Order_Date                          03-03-2022
Time_Orderd                              17:30
Time_Order_picked                        17:35
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 16691, dtype: object
