ID                                     0xe11e
Delivery_person_ID             KNPRES010DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 26.477750
Restaurant_longitude                80.351569
Delivery_location_latitude          26.487750
Delivery_location_longitude         80.361569
Order_Date                         17-02-2022
Time_Orderd                              8:10
Time_Order_picked                        8:15
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    21.000000
Name: 26683, dtype: object
