ID                                      0xab4a
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.041753
Delivery_location_longitude          77.026241
Order_Date                          30-03-2022
Time_Orderd                              13:35
Time_Order_picked                        13:40
Weather conditions                       Windy
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 6655, dtype: object
