ID                                       0xc99e
Delivery_person_ID                KOCRES03DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   10.020683
Restaurant_longitude                  76.310631
Delivery_location_latitude            10.090683
Delivery_location_longitude           76.380631
Order_Date                           12-02-2022
Time_Orderd                               17:50
Time_Order_picked                         18:05
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 31040, dtype: object
