ID                                    0xc6d0
Delivery_person_ID             GOARES11DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                15.544419
Restaurant_longitude               73.755736
Delivery_location_latitude         15.564419
Delivery_location_longitude        73.775736
Order_Date                        15-02-2022
Time_Orderd                            11:45
Time_Order_picked                      11:50
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 33815, dtype: object
