ID                                     0x14e6
Delivery_person_ID             CHENRES15DEL02
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.046286
Delivery_location_longitude         80.295235
Order_Date                         03-03-2022
Time_Orderd                              8:50
Time_Order_picked                        8:55
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 12971, dtype: object
