ID                                      0x26f9
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.031850
Delivery_location_longitude          77.041082
Order_Date                          06-04-2022
Time_Orderd                              19:50
Time_Order_picked                        19:55
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 24052, dtype: object
