ID                                        0xc9e
Delivery_person_ID             RANCHIRES18DEL03
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.351489
Restaurant_longitude                  85.324253
Delivery_location_latitude            23.441489
Delivery_location_longitude           85.414253
Order_Date                           16-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 39413, dtype: object
