ID                                     0xced4
Delivery_person_ID             AURGRES16DEL03
Delivery_person_Age                     29.00
Delivery_person_Ratings                  4.10
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.03
Delivery_location_longitude              0.03
Order_Date                         13-02-2022
Time_Orderd                             22:15
Time_Order_picked                       22:30
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        28.00
Name: 31175, dtype: object
