ID                                       0x364d
Delivery_person_ID                VADRES01DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.307898
Restaurant_longitude                  73.167788
Delivery_location_latitude            22.417898
Delivery_location_longitude           73.277788
Order_Date                           12-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 28972, dtype: object
