ID                                        0xa9e5
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    21.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            11-03-2022
Time_Orderd                                21:15
Time_Order_picked                          21:20
Weather conditions                         Windy
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       28.000000
Name: 6166, dtype: object
