ID                                       0xca9f
Delivery_person_ID                GOARES11DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   15.544419
Restaurant_longitude                  73.755736
Delivery_location_latitude            15.574419
Delivery_location_longitude           73.785736
Order_Date                           13-02-2022
Time_Orderd                               18:15
Time_Order_picked                         18:30
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 11991, dtype: object
