ID                                      0x6aa2
Delivery_person_ID             COIMBRES20DEL03
Delivery_person_Age                  24.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.084136
Delivery_location_longitude          77.053303
Order_Date                          20-03-2022
Time_Orderd                              20:15
Time_Order_picked                        20:30
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     19.000000
Name: 2957, dtype: object
