ID                                       0xd3e8
Delivery_person_ID                KOLRES04DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.538731
Restaurant_longitude                  88.364878
Delivery_location_latitude            22.648731
Delivery_location_longitude           88.474878
Order_Date                           18-02-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 31742, dtype: object
