ID                                     0x56ac
Delivery_person_ID             BANGRES12DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.939496
Restaurant_longitude                77.625999
Delivery_location_latitude          13.049496
Delivery_location_longitude         77.735999
Order_Date                         08-03-2022
Time_Orderd                             17:30
Time_Order_picked                       17:45
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    13.000000
Name: 39926, dtype: object
