ID                                      0xcef2
Delivery_person_ID             LUDHRES010DEL03
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           31.032860
Delivery_location_longitude          75.962199
Order_Date                          14-02-2022
Time_Orderd                              20:45
Time_Order_picked                        20:50
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     41.000000
Name: 1055, dtype: object
